ticker,company_name,current_aliases,proposed_alias,bucket,reason
NFLX,Netflix Inc,,netflix,safe,
NKE,Nike Inc,Nike,,noop,already_present
NOK,Nokia Corporation,Nokia|Nokia Corp|Nokia Networks,,noop,already_present
NOW,ServiceNow Inc,ServiceNow,,noop,already_present
NVDA,NVIDIA Corporation,NVIDIA Corp,nvidia,safe,
NVO,Novo Nordisk AS,Novo Nordisk|Novo Nordisk A/S|Ozempic,,noop,no_suffix_detected
ORCL,Oracle Corporation,Oracle Corp,oracle,safe,
PANW,Palo Alto Networks Inc,Palo Alto Networks,palo alto,safe,
PBR,Petroleo Brasileiro SA,Petrobras|Petróleo Brasileiro|Petróleo Brasileiro S.A.,petroleo brasileiro,safe,
PFE,Pfizer Inc,,pfizer,safe,
PG,Procter & Gamble Co,Procter & Gamble,,noop,already_present
PLTR,Palantir Technologies Inc,Palantir Technologies|Palantir,,noop,already_present
QCOM,Qualcomm Inc,QUALCOMM Inc,qualcomm,safe,
QQQ,Invesco QQQ Trust,Invesco QQQ|PowerShares QQQ,,noop,no_suffix_detected
RIO,Rio Tinto plc,Rio Tinto|Rio Tinto Group|Rio Tinto plc,,noop,already_present
SAP,SAP SE,SAP|SAP AG|SAP America,,noop,already_present
SBUX,Starbucks Corporation,Starbucks Corp,starbucks,safe,
SHEL,Shell plc,Shell|Royal Dutch Shell|Shell Energy,,noop,already_present
SNOW,Snowflake Inc,Snowflake,,noop,already_present
SONY,Sony Group Corporation,Sony|Sony Group|Sony Corporation|Sony Corp|PlayStation,,noop,already_present
SOXX,iShares Semiconductor ETF,SOXX,,noop,no_suffix_detected
SPY,SPDR S&P 500 ETF Trust,SPDR S&P 500 ETF,,noop,no_suffix_detected
T,AT&T Inc,AT&T Corporation,at&t,short,ticker 'T' has <= 2 chars
TM,Toyota Motor Corporation,Toyota|Toyota Motor|Toyota Motor Corp,,noop,already_present
TMUS,T-Mobile US Inc,T-Mobile US,,noop,already_present
TSLA,Tesla Inc,Tesla Motors,tesla,safe,
TSM,Taiwan Semiconductor Manufacturing,TSMC|Taiwan Semiconductor Manufacturing Company|Taiwan Semiconductor,,noop,no_suffix_detected
TXN,Texas Instruments Inc,Texas Instruments,,noop,already_present
UBS,UBS Group AG,UBS|UBS AG|UBS Group,,noop,already_present
UNH,UnitedHealth Group Inc,UnitedHealth Group,unitedhealth,safe,
V,Visa Inc,Visa International,visa,short,ticker 'V' has <= 2 chars
VALE,Vale SA,Vale|Vale S.A.|Vale SA,,noop,already_present
VZ,Verizon Communications Inc,Verizon Communications,verizon,short,ticker 'VZ' has <= 2 chars
WFC,Wells Fargo & Company,Wells Fargo Bank,wells fargo,safe,
WMT,Walmart Inc,Wal-Mart Stores,walmart,safe,
XLE,Energy Select Sector SPDR Fund,,,noop,no_suffix_detected
XLF,Financial Select Sector SPDR Fund,,,noop,no_suffix_detected
XLK,Technology Select Sector SPDR Fund,,,noop,no_suffix_detected
XLV,Health Care Select Sector SPDR Fund,,,noop,no_suffix_detected
XOM,Exxon Mobil Corporation,ExxonMobil|Exxon Mobil Corp,exxon mobil,safe,
